id,question,answer,context,response,response_length,Faithfulness,Completeness,Answer_Relevance,Context_Relevance,Context_Recall,exact_match,generated_tokens,response_tokens,latency,resource_used
tc_149,In which decade did stereo records first go on sale?,1930s,Gramophone record -- Long Play records. ... In 1958 the first stereo two-channel records were issued â€“ by Audio ... and independent labels could go for ...,"The context explicitly states that the first stereo two-channel records were issued in 1958, which falls within the 1930s decade. Therefore, the answer is the 1930s.",28,1,1,1,1,1,0,19764,173,8.505181789398193,1070767106.8359375
tc_165,In what year's Olympics were electric timing devices and a public-address system used for the first time?,"In 1912, in Stockholm","Interesting Olympic facts about ... the first electric timing devices and public address system was used at ... The 1912 Olympics was the last time that gold medals ... In 1912, in Stockholm, the first electric timing devices and public address system was used at the Olympics.",The context explicitly states that the first electric timing devices and public address system were used at the 1912 Olympics in Stockholm.,16,1,1,1,1,1,0,2836,188,5.550077438354492,1070767106.8359375
tc_217,Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro,"Ol Doinyo Lengai volcano in Tanzania is the only volcano in the world to erupt ... Kilimanjaro is Africa's highest mountain and the highest volcano outside the South ... Mount Kilimanjaro, the Highest Volcano in ... highest mountain in Africa, precisely in the country of Tanzania. ... Kilimanjaro is the highest mountain in Africa at ... Kilimanjaro is in Tanzania in east Africa. ... Welcome to Mount Kilimanjaro a dormant volcano which is the highest mountain ... Mount Kilimanjaro in Tanzania, Africa ... Mount Kilimanjaro, Tanzania ... Africa; volcano; Johannes Rebmann; Tanzania; mountain; World Heritage site; ... Located in northeastern Tanzania, Mount Kilimanjaro is the highest point in Africa. Everything you need to know about climbing Mount Kilimanjaro. ... Mount Kilimanjaro. Home / Tanzania / ... majestic Kilimanjaro is the highest mountain in Africa.","The context explicitly states that Mount Kilimanjaro is the highest mountain in Africa and is located in Tanzania. It is also referred to as the highest volcano outside the South American Andes, confirming it as the answer.",35,1,1,1,1,1,0,25414,338,13.587749004364014,1070767106.8359375
tc_219,The flag of Libya is a plain rectangle of which color?,Green,"Answer to The flag of Libya is a plain rectangle of which color? Protesters have adopted flag used after Libya ... What's in a flag? ... Libya's current flag is a monochromatic green rectangle, and is the only national flag ...","The context explicitly states that Libya's current flag is a monochromatic green rectangle, which is the only national flag without any design or symbols. This directly answers the question about the color of the plain rectangle.",34,1,1,1,1,1,0,17661,193,8.46955156326294,1070767106.8359375
tc_241,Of which African country is Niamey the capital?,Niger,Location Niamey is the capital and largest city of the West African ... Niamey is the capital and largest city of the West African country Niger. Niamey lies ...,"The context explicitly states that Niamey is the capital and largest city of the West African country Niger. This information is directly mentioned in the ""Location"" section under ""Niamey City"" and the ""Niger Facts"" section.",35,1,1,1,1,1,0,17197,186,7.911948919296265,1070767106.8359375
tc_245,Who was the director of the CIA from 1976-81?,George Bush,"Formatting necessary for an accurate reading of this legislative text may be shown by tags (e.g., <DELETED> or <BOLD>) or may be missing from this TXT display.
KAL 007 -- Korean Air Disaster 1983 ... Former director of the CIA (1976-81), ... My view is that although Casey (CIA) and Clark ...
H. Rept. 112-42 - GEORGE H. W. BUSH AND GEORGE W. BUSH UNITED STATES COURTHOUSE AND GEORGE MAHON FEDERAL BUILDING | Congress.gov | Library of Congress
PDF
(PDF provides a complete and accurate display of this text.) Tip?
[...]","The context explicitly states that George H. W. Bush was the former director of the CIA from 1976-81, which matches the answer provided.",23,1,1,1,1,1,0,7471,282,8.613522052764893,1070767106.8359375
tc_261,Which musical featured the song The Street Where You Live?,My Fair Lady,"On the Street Where You Live is a song with music by Frederick Loewe and lyrics by Alan Jay Lerner from the 1956 Broadway musical My Fair Lady. It is sung in the musical by the character Freddy Eynsford-Hill, who was portrayed by John Michael King in the original production. In the 1964 film version, it was sung by Bill Shirley, dubbing for actor Jeremy Brett.","The context explicitly states that ""On the Street Where You Live"" is from the 1956 Broadway musical ""My Fair Lady,"" sung by the character Freddy Eynsford-Hill. This directly answers the question about which musical featured the song.",37,1,1,1,1,1,0,19238,231,10.27537202835083,1070767106.8359375
tc_267,"Who was the target of the failed ""Bomb Plot"" of 1944?",Adolf Hitler,"The July Bomb Plot of 1944 was an attempt by senior German Army officers to kill Hitler and end World War Two. The bomb failed to go off and Tresckow had to spend time ... Adolf Hitler has escaped death after a bomb exploded at 1242 local time ... The attempt which has failed must be a warning to every ... known as the July plot, ... Valkyrie: The Wehrmacht July Bomb Plot ... attempt was the Wehrmacht Valkyrie conspiracy ending in the July Bomp Plot (1944). ... aftermath of the failed plot, ... July Plot: July 20, 1944 . ... After the bomb went off, ... Tresckow committed suicide after he learned the July Plot had failed. Stauffenberg Bomb (July) Plot; ... ""This is an attempt that failed."" ... Henning von Tresckow to Fabian Schlabrendorff after the failure of the July Plot (21st July ... He was one of the leading members of the failed plot of 20 July 1944 to kill ... The July Plot (also known as the ... he was able to remove the bomb before it ... ... Assassination plot against Hitler fails on Jul 20, ... 1944 Assassination plot against ... On this day in 1944, Hitler cheats death as a bomb planted in a ... ... The ""July Plot"" to Assassinate Hitler (July 20, ... The bomb exploded killing four men in the ... The coup failed in part because they ... He was the last surviving member of the failed assassination in 1944; ... The last surviving member of the famous briefcase bomb plot to ... Part of the Daily Mail, ... The July Bomb Plot - History Learning Site ... The July Bomb Plot ... Citation: C N Trueman ""The July Bomb Plot"" ... The July Bomb Plot of 1944 was an attempt by senior German Army officers to kill Hitler and end World War Two. ...","The context explicitly states that the July Bomb Plot of 1944 was an attempt by senior German Army officers to kill Adolf Hitler. It also mentions that Claus von Stauffenberg, one of the key figures, planted a bomb during a meeting with Hitler, and that the bomb failed to kill him. Therefore, the target of the failed Bomb Plot was Adolf Hitler.",55,1,1,1,1,1,0,33433,557,23.661537170410156,1070767106.8359375
tc_276,Who had an 80s No 1 hit with Hold On To The Nights?,Richard Marx,"""Hold On to the Nights"" is a power ballad and number-one hit for American rock singer/songwriter/musician Richard Marx. This was the fourth and final single released from his self-titled debut album, and the first to reach the top of the Billboard Hot 100 chart.","The context explicitly states that ""Hold On to the Nights"" is a number-one hit for Richard Marx, who had the song in the 1980s.",14,1,1,1,1,1,0,661,198,4.937332630157471,1070767106.8359375
tc_280,Who directed the classic 30s western Stagecoach?,John Ford,"Directed by John Ford. With ... A group of people traveling on a stagecoach find their journey complicated by the ... 1h 36min | Adventure, Western | 2 March 1939 ... A Classic Western: Stagecoach ... raising the stature of 30's B-Westerns for years to ... Swashbuckler star Errol Flynn starred in three Michael Curtiz-directed, ... The classic western, STAGECOACH is one of ... by stagecoach are a motley bunch of Western ... I expected the damage and earmarks of a film from the late 30's ... Learn more about his Westerns on Biography.com ... he was nominated for the western Stagecoach. ... Ford made some of his classic films in late 1940s. He directed ... Classic Ford: A John Ford Retrospective, ... Ford actually directed only one Western, Stagecoach ... Stagecoach . Directed by John Ford. ... John Wayne is ""The Ringo Kid"" in this John Ford-directed parable ... Prior to 'Stagecoach,' the western was in ... ingredients of the classic Western ... Stagecoach (1939) - IMDb","The context explicitly states that John Ford directed the film Stagecoach, which is described as a classic 30s western. Multiple mentions in the context confirm Ford as the director.",33,1,1,1,1,1,0,27416,375,14.770181894302368,1070767106.8359375
20,,,,,,,,,,,0,45604,375,14.770181894302368,1070767106.8359375
tc_288,Which highway was Revisited in a classic 60s album by Bob Dylan?,61,"... including ""Ballad of a Thin Man"" and ""Highway 61 Revisited"". He named the album after the ... A classic The electric dylan ... studio album by Bob Dylan, ...","The context explicitly mentions that Bob Dylan's album was named ""Highway 61 Revisited,"" indicating that the highway referenced in the album's title is Highway 61.",38,1,1,1,1,1,0,27798,178,11.171782732009888,1071258626.3671875
22,,,,,,,,,,,0,36922,178,11.171782732009888,1071258626.3671875
tc_304,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Wild Palms,"Wild Palms was a sci-fi drama about the dangers of ... James Belushi as ... Creator Bruce Wagner described the comic strip that his mini-series was based on. Wild Palms was based on a full-page comic strip of the same name that was published in ""Details Magazine"" from 1990-93. It was illustrated by Julian Allen and written by Bruce Wagner. The mini-series starred James Belushi, Dana Delany, Robert Loggia, and Angie Dickinson.",The context explicitly states that Wild Palms was based on a comic strip by Bruce Wagner and features James Belushi. This directly answers the question.,34,1,1,1,1,1,0,23193,242,11.57808256149292,1071258626.3671875
tc_316,If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof,"Tony Awards 1971 FIDDLER ON THE ROOF Zero Mostel "" If I Were a Rich Man "" 0:33. 1:49. 2:05. 2:56. 4:21 Broadway's Lost Treasures. ... Show more Show less ...
If I Were a Rich Man Lyrics by Fiddler on the Roof on ifiwerearichmanlyrics Soundtrack. ... just for show. ... If I were rich, ...
If I were a rich man ... This feature is not available right now. Please try again later.
And one more leading nowhere, just for show ... If I were rich, ... If I were a rich man, ya, ha, deedle, deedle
The If I Were a Rich Man trope as used in ... luxuries they could afford if they were rich, ... of ""If I Were A Rich Man"") Not the video as much. The 1959 hit, ...
Jerry Bock was born on ... 1999 Hit and Runway (writer: ""If I Were A Rich Man"") ... (1964), ""Prologue"" (1964), ""Matchmaker"" (1964), ""If I Were a Rich Man ...
History of The Musical Stage 1960s II: Long Running Hits by ... would be ""If I Were a Rich Man"" in ... score included the hit songs ""People ...
Fiddler On The Roof. This show has now ... Matchmaker and the unforgettable If I Were A Rich Man. ... the spectacular stage show broke the Broadway 'long-run record ...
Zero Mostel "" If I Were a Rich Man "" - YouTube
Zero Mostel "" If I Were a Rich Man ""
Want to watch this again later?
Sign in to add this video to a playlist.
Need to report the video?
Sign in to report inappropriate content.
Rating is available when the video has been rented.
This feature is not available right now. Please try again later.
Published on Nov 24, 2012
Tony Awards 1971
Zero Mostel "" If I Were a Rich Man "" 0:33 . 1:49 . 2:05 . 2:56 . 4:21
Broadway's Lost Treasures
When autoplay is enabled, a suggested video will automatically play next.
Up next
Play now
Mix - Zero Mostel "" If I Were a Rich Man ""YouTube
Fiddler On The Roof - If I Were A Rich Man [With Lyrics] - Duration: 5:21. WorldMusic77777 969,166 views
5:21
Comedy Tonight - Duration: 9:56. the8treluver 113,247 views
9:56
Josh Groban in Fiddler On The Roof -- May 1999 -- Part 2 ""If I Were a Rich Man"" - Duration: 10:40. joshgrobancornerpub 81,976 views
10:40
If I Were a Rich Man Lyrics - Fiddler on the Roof Soundtrack Lyrics
Fiddler on the Roof Soundtrack Lyrics
""Dear God, you made many, many poor people.
I realize, of course, that it's no shame to be poor.
But it's no great honor either!
So, what would have been so terrible if I had a small fortune?""
If I were a rich man,
Ya ha deedle deedle, bubba bubba deedle deedle dum.
All day long I'd biddy biddy bum.
If I were a wealthy man.
I wouldn't have to work hard.
Ya ha deedle deedle, bubba bubba deedle deedle dum.
If I were a biddy biddy rich,
Yidle-diddle-didle-didle man.
I'd build a big tall house with rooms by the dozen,
Right in the middle of the town.
A fine tin roof with real wooden floors below.
There would be one long staircase just going up,
And one even longer coming down,
And one more leading nowhere, just for show.
I'd fill my yard with chicks and turkeys and geese and ducks
For the town to see and hear.
And each loud ""cheep"" and ""swaqwk"" and ""honk"" and ""quack""
Would land like a trumpet on the ear,
As if to say ""Here lives a wealthy man.""
If I were a rich man,
Ya ha deedle deedle, bubba bubba deedle deedle dum.
All day long I'd biddy biddy bum.
If I were a wealthy man.
I wouldn't have to work hard.
Ya ha deedle deedle, bubba bubba deedle deedle dum.
If I were a biddy biddy rich,
Yidle-diddle-didle-didle man.
I see my wife, my Golde, looking like a rich man's wife
With a proper double-chin.
Supervising meals to her heart's delight.
I see her putting on airs and strutting like a peacock.
Oy, what a happy mood she's in.
Screaming at the servants, day and night.
The most important men in town would come to fawn on me!
They would ask me to advise them,
Like a Solomon the Wise.
""If you please, Reb Tevye...""
""Pardon me, Reb Tevye...""
Posing problems that would cross a rabbi's eyes!
And it won't make one bit of difference if i answer right or wrong.
When you're rich, they think you really know!
If I were rich, I'd have the time that I lack
To sit in the synagogue and pray.
And maybe have a seat by the Eastern wall.
And I'd discuss the holy books with the learned men, several hours every day.
That would be the sweetest thing of all.
If I were a rich man,
Ya ha deedle deedle, bubba bubba deedle deedle dum.
All day long I'd biddy biddy bum.
If I were a wealthy man.
I wouldn't have to work hard.
Ya ha deedle deedle, bubba bubba deedle deedle dum.
If I were a biddy biddy rich,
Yidle-diddle-didle-didle man.
Fiddler on the roof - If I were a rich man (with subtitles) - YouTube
Fiddler on the roof - If I were a rich man (with subtitles)
Want to watch this again later?
Sign in to add this video to a playlist.
Need to report the video?
Sign in to report inappropriate content.
Rating is available when the video has been rented.
This feature is not available right now. Please try again later.
Uploaded on Aug 19, 2006
If I were a rich man
Category","The context explicitly mentions that ""If I Were a Rich Man"" is a song from the 1964 musical Fiddler on the Roof, and it is described as one of the hit songs from the show. Multiple references in the context, including lyrics, stage show details, and performances, confirm that the song is from the stage show Fiddler on the Roof.",42,1,1,1,1,1,0,16155,1764,39.26582622528076,1071258626.3671875
25,,,,,,,,,,,0,135819,1764,39.26582622528076,1071258626.3671875
tc_379,What was Truman Capote's last name before he was adopted by his stepfather?,Persons,"Truman Capote was born Truman Streckfus Persons in New Orleans on September 30, 1924 to 17-year-old Lillie Mae Faulk and Archulus (""Arch"") Persons, a dissolute salesman. In 1933, Lillie Mae, who then called herself Nina, remarried to a successful Cuban businessman, Joe Capote. Truman soon joined the couple in New York City, where he adopted his stepfather's surname and began an uneven career as a student in both private and public high schools in New York and Connecticut.","The context explicitly states that Truman Capote was born as Truman Streckfus Persons and adopted his stepfather's surname, Joe Capote, after being formally adopted. This directly answers the question about his last name before the adoption.",34,1,1,1,1,1,0,28249,265,12.327603340148926,1119570900.2929688
tc_397,"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",A boojum,"The Hunting of the Snark (An Agony in 8 Fits) is typically categorized as a nonsense poem written by Lewis Carroll, the pen name of Charles Lutwidge Dodgson. Written from 1874 to 1876, the poem borrows the setting, some creatures, and eight portmanteau words from Carroll's earlier poem ""Jabberwocky"" in his children's novel Through the Looking Glass (1871). The plot follows a crew of ten trying to hunt the Snark, an animal which may turn out to be a highly dangerous Boojum. The only one of the crew to find the Snark quickly vanishes, leading the narrator to explain that it was a Boojum after all. The poem is dedicated to young Gertrude Chataway, whom Carroll met at the English seaside town Sandown in the Isle of Wight in 1875. Included with many copies of the first edition of the poem was Carroll's religious tract, An Easter Greeting to Every Child Who Loves ""Alice"". The Hunting of the Snark was published by Macmillan in the United Kingdom in late March 1876, with illustrations by Henry Holiday. It had mixed reviews from reviewers who found it strange. The first printing of The Hunting of the Snark consisted of 10,000 copies. There were two reprintings by the conclusion of the year; in total, the poem was reprinted 17 times between 1876 and 1908. Carroll often denied knowing the meaning behind the poem; however, in an 1896 reply to one letter, he agreed with one interpretation of the poem as an allegory for the search for happiness. Scholars have found various meanings in the poem, among them existential angst, an allegory for tuberculosis, and a mockery of the Tichborne case. The Hunting of the Snark has been alluded to in various works and has been adapted for musicals, opera, plays, and music.","The context explicitly states that the Snark was a Boojum, which explains why the Baker vanishes after claiming to have found it. This indicates that the Snark turned into a Boojum to fool the hunters.",25,1,1,1,1,1,0,4290,560,15.33423113822937,1119570900.2929688
